Subject,Total Classes,Leaves,Friday,Monday,Thursday,Tuesday,Wednesday,Percentage,Bunkable,Monday 2,Tuesday 2,Wednesday 2,Thursday 2,Friday 2
Data Mining,51,1.0,1,1,1,1,0,98.03921568627452,12,96.07843137254902,96.07843137254902,98.03921568627452,96.07843137254902,96.07843137254902
Data Science,51,1.0,1,1,1,1,0,98.03921568627452,12,96.07843137254902,96.07843137254902,98.03921568627452,96.07843137254902,96.07843137254902
Embedded Systems,51,0.0,1,1,1,1,0,100.0,12,98.03921568627452,98.03921568627452,100.0,98.03921568627452,98.03921568627452
Industrial Psychology,50,0.0,1,1,1,0,1,100.0,12,98.0,100.0,98.0,98.0,98.0
Mentoring,13,0.0,0,0,0,1,0,100.0,3,100.0,92.3076923076923,100.0,100.0,100.0
Project,225,9.0,3,3,3,3,6,96.0,54,94.66666666666667,94.66666666666667,93.33333333333333,94.66666666666667,94.66666666666667
