Name,1,2,3,4,5,6,7
Monday,Embedded Systems,Data Science,Data Mining,Industrial Psychology,Project,Project,Project
Tuesday,Data Mining,Data Science,Embedded Systems,Mentoring,Project,Project,Project
Wednesday,Project,Project,Project,Industrial Psychology,Project,Project,Project
Thursday,Data Mining,Data Science,Embedded Systems,Industrial Psychology,Project,Project,Project
Friday,Embedded Systems,Data Science,Data Mining,Industrial Psychology,Project,Project,Project
